Designator,Mid X,Mid Y,Rotation,Layer
C1,251.04,-73.16,90.0,bottom
C10,252.8875,-76.9,0.0,bottom
C11,199.389818,-117.885092,270.0,bottom
C12,248.94817,-87.04125,90.0,bottom
C13,254.13692,-88.3925,90.0,bottom
C15,253.4675,-78.3,90.0,bottom
C2,252.41,-78.29,90.0,bottom
C3,241.1,-74.375,270.0,bottom
C4,249.632318,-71.55,180.0,bottom
C5,243.8575,-82.87,0.0,bottom
C6,252.4,-72.61,90.0,bottom
C7,201.299818,-75.655092,270.0,bottom
C8,206.299818,-76.555092,270.0,bottom
C9,103.557318,-117.567592,270.0,bottom
J1,190.40375,-72.74,90.0,bottom
R1,97.722318,-114.580092,180.0,bottom
R10,199.039818,-113.325092,0.0,bottom
R11,193.709818,-114.185092,180.0,bottom
R12,198.782708,-126.250864,270.0,bottom
R13,195.85,-126.250864,270.0,bottom
R14,197.682708,-126.250864,270.0,bottom
R15,252.24942,-85.8175,180.0,bottom
R16,248.96817,-89.02125,90.0,bottom
R17,252.249419,-84.7175,180.0,bottom
R2,101.332318,-115.867592,90.0,bottom
R3,247.632318,-71.5475,0.0,bottom
R4,102.382318,-115.867592,90.0,bottom
R5,97.732318,-115.780092,180.0,bottom
R6,104.432318,-123.100092,0.0,bottom
R7,104.432318,-124.380092,0.0,bottom
R8,193.689818,-113.155092,180.0,bottom
R9,198.992318,-112.010092,0.0,bottom
SW1,33.65125,-63.1225,0.0,top
SW10,209.86375,-63.1225,0.0,top
SW100,239.70125,-70.0225,270.0,bottom
SW11,228.91375,-63.1225,0.0,top
SW12,247.96375,-63.1225,180.0,top
SW13,257.48875,-63.1225,180.0,top
SW14,267.01375,-63.1225,180.0,top
SW15,36.0325,-82.1725,0.0,top
SW16,62.22625,-82.1725,0.0,top
SW17,81.27625,-82.1725,0.0,top
SW18,100.32625,-82.1725,0.0,top
SW19,119.37625,-82.1725,0.0,top
SW2,57.46375,-63.1225,0.0,top
SW20,138.42625,-82.1725,0.0,top
SW21,157.47625,-82.1725,0.0,top
SW22,176.52625,-82.1725,0.0,top
SW23,195.57625,-82.1725,0.0,top
SW24,214.62625,-82.1725,0.0,top
SW25,233.67625,-82.1725,0.0,top
SW26,259.87,-82.1725,0.0,top
SW27,40.795,-101.2225,0.0,top
SW28,71.75125,-101.2225,0.0,top
SW29,90.80125,-101.2225,0.0,top
SW3,76.51375,-63.1225,0.0,top
SW30,109.85125,-101.2225,0.0,top
SW31,128.90125,-101.2225,0.0,top
SW32,147.95125,-101.2225,0.0,top
SW33,167.00125,-101.2225,0.0,top
SW34,186.05125,-101.2225,0.0,top
SW35,205.10125,-101.2225,0.0,top
SW36,224.15125,-101.2225,0.0,top
SW37,243.20125,-101.2225,0.0,top
SW38,264.6325,-101.2225,0.0,top
SW39,31.27,-120.2725,0.0,top
SW4,95.56375,-63.1225,0.0,top
SW40,55.0825,-120.2725,180.0,top
SW41,86.037954,-120.2725,0.0,top
SW42,121.7575,-120.2725,180.0,top
SW43,157.47632,-120.272149,0.0,top
SW44,176.714477,-120.2725,0.0,top
SW45,217.006704,-120.2725,0.0,top
SW46,240.816221,-120.270578,0.0,top
SW47,264.6325,-120.2725,180.0,top
SW48,255.1075,-101.2225,0.0,top
SW5,114.61375,-63.1225,0.0,top
SW6,133.66375,-63.1225,0.0,top
SW7,152.71375,-63.1225,0.0,top
SW8,171.76375,-63.1225,0.0,top
SW9,190.81375,-63.1225,0.0,top
U1,246.7875,-77.25,270.0,bottom
U2,100.3125,-120.925,0.0,bottom
U3,196.175,-120.825,0.0,bottom
U4,203.862318,-76.105092,180.0,bottom
U5,251.57442,-88.005,180.0,bottom
