Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4",0402,5,100nF,C307331
"C11, C12, C5, C9",0402,4,100n,C307331
C13,0402,1,220pF NP0,C1530
C15,0402,1,1u,
C6,0603,1,10uF,
"C7, C8",0402,2,1uF,C52923
"H1, H10, H11, H12, H13, H14, H15, H16, H17, H18, H19, H2, H20, H21, H22, H3, H4, H5, H6, H7, H8, H9",MountingHole_2.2mm_M2_DIN965,22,MountingHole,
J1,JST-SR-4,1,SM04B-SRSS-TB(LF)(SN),
"R1, R10, R11, R12, R13, R14, R15, R2, R4, R5, R6, R7, R8, R9",0402,14,100k,C25741
R16,0402,1,1k,C11702
R3,0402,1,10k,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,
"U2, U3",TSSOP-16_4.4x5mm_P0.65mm,2,74HC4051,C5645
U4,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U5,SOT-23-5,1,OPA354,
