Designator,Mid X,Mid Y,Rotation,Layer
C1,251.04,-73.16,90.0,bottom
C10,252.8875,-76.9,0.0,bottom
C11,199.6,-117.97,90.0,bottom
C12,248.115,-85.39875,90.0,bottom
C13,253.30375,-86.75,90.0,bottom
C15,253.4675,-78.3,90.0,bottom
C2,252.41,-78.29,90.0,bottom
C3,241.1,-74.375,270.0,bottom
C4,249.2875,-71.55,180.0,bottom
C5,243.8575,-82.87,0.0,bottom
C6,252.4,-72.61,90.0,bottom
C7,236.6625,-67.675,180.0,bottom
C8,238.2125,-70.025,270.0,bottom
C9,103.71,-118.57,90.0,bottom
J1,190.40375,-72.74,90.0,bottom
R1,100.728,-114.781874,90.0,bottom
R10,198.403334,-113.84,90.0,bottom
R11,195.273334,-113.84,90.0,bottom
R12,200.11,-123.7,0.0,bottom
R13,200.11,-125.78,0.0,bottom
R14,200.11,-124.75,0.0,bottom
R15,251.41625,-84.175,180.0,bottom
R16,248.135,-87.37875,90.0,bottom
R17,251.416249,-83.075,180.0,bottom
R2,101.789,-114.781874,90.0,bottom
R3,247.3225,-71.5475,0.0,bottom
R4,102.85,-114.781874,90.0,bottom
R5,99.667,-114.781874,90.0,bottom
R6,105.28,-123.67,0.0,bottom
R7,105.28,-124.95,0.0,bottom
R8,196.316667,-113.84,90.0,bottom
R9,197.36,-113.84,90.0,bottom
SW1,33.65125,-63.1225,0.0,top
SW10,209.86375,-63.1225,0.0,top
SW100,240.9575,-69.9975,270.0,bottom
SW11,228.91375,-63.1225,0.0,top
SW12,247.96375,-63.1225,180.0,top
SW13,257.48875,-63.1225,180.0,top
SW14,36.0325,-82.1725,0.0,top
SW15,62.22625,-82.1725,0.0,top
SW16,81.27625,-82.1725,0.0,top
SW17,100.32625,-82.1725,0.0,top
SW18,119.37625,-82.1725,0.0,top
SW19,138.42625,-82.1725,0.0,top
SW2,57.46375,-63.1225,0.0,top
SW20,157.47625,-82.1725,0.0,top
SW21,176.52625,-82.1725,0.0,top
SW22,195.57625,-82.1725,0.0,top
SW23,214.62625,-82.1725,0.0,top
SW24,233.67625,-82.1725,0.0,top
SW25,259.87,-82.1725,0.0,top
SW26,40.795,-101.2225,0.0,top
SW27,71.75125,-101.2225,0.0,top
SW28,90.80125,-101.2225,0.0,top
SW29,109.85125,-101.2225,0.0,top
SW3,76.51375,-63.1225,0.0,top
SW30,128.90125,-101.2225,0.0,top
SW31,147.95125,-101.2225,0.0,top
SW32,167.00125,-101.2225,0.0,top
SW33,186.05125,-101.2225,0.0,top
SW34,205.10125,-101.2225,0.0,top
SW35,224.15125,-101.2225,0.0,top
SW36,243.20125,-101.2225,0.0,top
SW37,264.6325,-101.2225,0.0,top
SW38,31.27,-120.2725,0.0,top
SW39,55.0825,-120.2725,180.0,top
SW4,95.56375,-63.1225,0.0,top
SW40,86.037954,-120.2725,0.0,top
SW41,121.7575,-120.2725,180.0,top
SW42,176.714477,-120.2725,0.0,top
SW43,217.006704,-120.2725,0.0,top
SW44,240.816221,-120.270578,0.0,top
SW45,264.6325,-120.2725,180.0,top
SW46,267.01375,-63.1225,180.0,top
SW47,157.47632,-120.272149,0.0,top
SW5,114.61375,-63.1225,0.0,top
SW6,133.66375,-63.1225,0.0,top
SW7,152.71375,-63.1225,0.0,top
SW8,171.76375,-63.1225,0.0,top
SW9,190.81375,-63.1225,0.0,top
U1,246.7875,-77.25,270.0,bottom
U2,100.3125,-120.925,0.0,bottom
U3,196.175,-120.825,0.0,bottom
U4,235.7125,-69.975,180.0,bottom
U5,250.74125,-86.3625,180.0,bottom
